"ogc_fid","gm_","date","field_3","tm","field_5","opp","w/l","r","ra","inn","w_l","rank","gb","win","loss","save","time","d/n","attendance","streak","orig. scheduled","gm_loc"
81,"81","Thursday Jun 27","boxscore","BOS","","TOR","W","7","4","","48-33","1","up 3.5","Lester","Wang","Uehara","2:34","N","34750","+++","","BOS"
82,"82","Friday Jun 28","boxscore","BOS","","TOR","W","7","5","","49-33","1","up 3.5","Miller","Wagner","Uehara","3:22","N","36383","++++","","BOS"
83,"83","Saturday Jun 29","boxscore","BOS","","TOR","L","2","6","","49-34","1","up 2.5","Delabar","Tazawa","","3:05","D","37437","-","","BOS"
84,"84","Sunday Jun 30","boxscore","BOS","","TOR","W-wo","5","4","","50-34","1","up 2.5","Uehara","Perez","","3:10","D","37425","+","","BOS"
85,"85","Tuesday Jul 2","boxscore","BOS","","SDP","W","4","1","","51-34","1","up 3.5","Lackey","Erlin","Uehara","2:48","N","36498","++","","BOS"
86,"86","Wednesday Jul 3","boxscore","BOS","","SDP","W-wo","2","1","","52-34","1","up 3.5","Uehara","Gregerson","","3:05","N","36911","+++","","BOS"
87,"87","Thursday Jul 4","boxscore","BOS","","SDP","W","8","2","","53-34","1","up 4.5","Webster","Stults","","3:21","D","37607","++++","","BOS"
98,"98","Friday Jul 19","boxscore","BOS","","NYY","W","4","2","","59-39","1","up 2.5","Doubront","Pettitte","Uehara","2:55","N","38130","+","","BOS"
99,"99","Saturday Jul 20","boxscore","BOS","","NYY","L","2","5","","59-40","1","up 1.5","Kuroda","Lackey","Rivera","3:12","D","37601","-","","BOS"
100,"100","Sunday Jul 21","boxscore","BOS","","NYY","W-wo","8","7","11","60-40","1","up 1.5","Beato","Warren","","4:46","N","38138","+","","BOS"
101,"101","Monday Jul 22","boxscore","BOS","","TBR","L","0","3","","60-41","1","up 0.5","Moore","Workman","","2:52","N","35016","-","","BOS"
102,"102","Tuesday Jul 23","boxscore","BOS","","TBR","W","6","2","","61-41","1","up 1.5","Lester","Hernandez","","3:06","N","34609","+","","BOS"
103,"103","Wednesday Jul 24","boxscore","BOS","","TBR","L","1","5","","61-42","1","up 0.5","Price","Doubront","","3:00","N","36514","-","","BOS"
107,"107","Monday Jul 29","boxscore","BOS","","TBR","L","1","2","","63-44","2","0.5","Price","Doubront","Rodney","3:21","N","37242","-","","BOS"
108,"108","Tuesday Jul 30","boxscore","BOS","","SEA","W","8","2","","64-44","2","0.5","Workman","Saunders","","2:44","N","34578","+","","BOS"
109,"109","Wednesday Jul 31","boxscore","BOS","","SEA","W-wo","5","4","15","65-44","1","up 0.5","Britton","Luetge","","5:03","N","35059","++","","BOS"
110,"110","Thursday Aug 1","boxscore","BOS","","SEA","W-wo","8","7","","66-44","1","up 1.0","Wright","Perez","","3:17","N","35886","+++","","BOS"
111,"111","Friday Aug 2","boxscore","BOS","","ARI","L","6","7","","66-45","1","up 1.0","Delgado","Beato","Ziegler","3:32","N","37652","-","","BOS"
112,"112","Saturday Aug 3","boxscore","BOS","","ARI","W","5","2","","67-45","1","up 1.0","Peavy","Corbin","Uehara","3:02","N","37941","+","","BOS"
113,"113","Sunday Aug 4","boxscore","BOS","","ARI","W","4","0","","68-45","1","up 1.0","Doubront","McCarthy","","3:16","D","37611","++","","BOS"
124,"124","Friday Aug 16","boxscore","BOS","","NYY","L","3","10","","72-52","1","up 1.0","Pettitte","Doubront","","3:31","N","38143","---","","BOS"
125,"125","Saturday Aug 17","boxscore","BOS","","NYY","W","6","1","","73-52","1","up 2.0","Lackey","Kuroda","","3:26","D","37517","+","","BOS"
126,"126","Sunday Aug 18","boxscore","BOS","","NYY","L","6","9","","73-53","1","up 1.0","Sabathia","Dempster","Rivera","4:12","N","37917","-","","BOS"
133,"133","Tuesday Aug 27","boxscore","BOS","","BAL","W","13","2","","78-55","1","up 2.5","Doubront","Chen","","2:59","N","36226","+++","","BOS"
134,"134","Wednesday Aug 28","boxscore","BOS","","BAL","W","4","3","","79-55","1","up 2.5","Breslow","Hunter","Uehara","3:00","N","31962","++++","","BOS"
135,"135","Thursday Aug 29","boxscore","BOS","","BAL","L","2","3","","79-56","1","up 2.5","Tillman","Lester","Johnson","3:20","N","33300","-","","BOS"
136,"136","Friday Aug 30","boxscore","BOS","","CHW","W","4","3","","80-56","1","up 3.5","Dempster","Santiago","Uehara","3:09","N","36063","+","","BOS"
137,"137","Saturday Aug 31","boxscore","BOS","","CHW","W","7","2","","81-56","1","up 4.5","Peavy","Danks","","3:11","N","37363","++","","BOS"
138,"138","Sunday Sep 1","boxscore","BOS","","CHW","W","7","6","","82-56","1","up 5.5","Workman","Rienzo","Uehara","3:39","D","37053","+++","","BOS"
139,"139","Monday Sep 2","boxscore","BOS","","DET","L","0","3","","82-57","1","up 5.5","Fister","Lackey","Veras","2:59","D","36188","-","","BOS"
140,"140","Tuesday Sep 3","boxscore","BOS","","DET","W","2","1","","83-57","1","up 5.5","Lester","Scherzer","Uehara","2:56","N","32071","+","","BOS"
141,"141","Wednesday Sep 4","boxscore","BOS","","DET","W","20","4","","84-57","1","up 5.5","Dempster","Porcello","","3:33","N","33720","++","","BOS"
149,"149","Friday Sep 13","boxscore","BOS","","NYY","W","8","4","","90-59","1","up 8.5","Workman","Kuroda","","3:06","N","37542","+","","BOS"
150,"150","Saturday Sep 14","boxscore","BOS","","NYY","W","5","1","","91-59","1","up 8.5","Lester","Sabathia","","2:43","D","37510","++","","BOS"
151,"151","Sunday Sep 15","boxscore","BOS","","NYY","W","9","2","","92-59","1","up 9.5","Buchholz","Nova","","3:13","N","37137","+++","","BOS"
152,"152","Tuesday Sep 17","boxscore","BOS","","BAL","L","2","3","","92-60","1","up 9.0","Hunter","Uehara","Johnson","3:08","N","35030","-","","BOS"
153,"153","Wednesday Sep 18","boxscore","BOS","","BAL","L","3","5","12","92-61","1","up 8.0","McFarland","Morales","Johnson","4:01","N","38540","--","","BOS"
154,"154","Thursday Sep 19","boxscore","BOS","","BAL","W","3","1","","93-61","1","up 9.0","Lackey","Tillman","","2:18","N","36436","+","","BOS"
155,"155","Friday Sep 20","boxscore","BOS","","TOR","W","6","3","","94-61","1","up 9.0","Lester","Rogers","Uehara","3:26","N","37215","++","","BOS"
156,"156","Saturday Sep 21","boxscore","BOS","","TOR","L","2","4","","94-62","1","up 8.0","Buehrle","Buchholz","Janssen","3:07","N","37569","-","","BOS"
157,"157","Sunday Sep 22","boxscore","BOS","","TOR","W","5","2","","95-62","1","up 8.0","Doubront","Dickey","Uehara","2:13","D","37020","+","","BOS"
116,"116","Wednesday Aug 7","boxscore","BOS","@","HOU","W","7","5","","70-46","1","up 2.5","Tazawa","Fields","Uehara","3:53","N","22205","++","","HOU"
117,"117","Thursday Aug 8","boxscore","BOS","@","KCR","L","1","5","","70-47","1","up 2.0","Chen","Lester","Hochevar","2:38","N","21121","-","","KCR"
118,"118","Friday Aug 9","boxscore","BOS","@","KCR","L","6","9","","70-48","1","up 2.0","Bueno","Britton","Holland","3:25","N","29485","--","","KCR"
119,"119","Saturday Aug 10","boxscore","BOS","@","KCR","W","5","3","","71-48","1","up 3.0","Workman","Guthrie","Uehara","3:28","N","38742","+","","KCR"
120,"120","Sunday Aug 11","boxscore","BOS","@","KCR","L","3","4","","71-49","1","up 3.0","Shields","Lackey","Holland","2:56","D","24935","-","","KCR"
121,"121","Tuesday Aug 13","boxscore","BOS","@","TOR","W","4","2","11","72-49","1","up 4.0","Uehara","Loup","","3:37","N","32816","+","","TOR"
122,"122","Wednesday Aug 14","boxscore","BOS","@","TOR","L-wo","3","4","10","72-50","1","up 3.0","Lincoln","Workman","","3:20","N","31695","-","","TOR"
123,"123","Thursday Aug 15","boxscore","BOS","@","TOR","L","1","2","","72-51","1","up 2.0","Buehrle","Peavy","Janssen","2:43","N","40477","--","","TOR"
